Block index,Time [s]
182,5.7220458984375e-06
183,4.76837158203125e-07
184,2.384185791015625e-07
185,8.58306884765625e-06
186,2.384185791015625e-07
187,4.76837158203125e-07
188,5.7220458984375e-06
189,2.384185791015625e-07
190,2.384185791015625e-07
191,5.7220458984375e-06
192,7.152557373046875e-07
193,2.384185791015625e-07
194,6.9141387939453125e-06
195,4.76837158203125e-07
196,2.384185791015625e-07
197,5.7220458984375e-06
198,2.384185791015625e-07
199,2.384185791015625e-07
200,5.9604644775390625e-06
201,2.384185791015625e-07
202,2.384185791015625e-07
203,5.9604644775390625e-06
204,2.384185791015625e-07
205,2.384185791015625e-07
206,6.4373016357421875e-06
207,2.384185791015625e-07
208,4.76837158203125e-07
209,5.7220458984375e-06
210,2.384185791015625e-07
211,2.384185791015625e-07
212,5.9604644775390625e-06
213,4.76837158203125e-07
214,2.384185791015625e-07
215,5.7220458984375e-06
216,2.384185791015625e-07
217,2.384185791015625e-07
218,7.867813110351562e-06
219,2.384185791015625e-07
220,2.384185791015625e-07
221,6.67572021484375e-06
222,7.152557373046875e-07
223,4.76837158203125e-07
224,5.4836273193359375e-06
225,4.76837158203125e-07
226,4.76837158203125e-07
227,5.4836273193359375e-06
228,4.76837158203125e-07
229,2.384185791015625e-07
230,5.4836273193359375e-06
231,2.384185791015625e-07
232,2.384185791015625e-07
233,5.7220458984375e-06
234,2.384185791015625e-07
235,2.384185791015625e-07
236,6.4373016357421875e-06
237,2.384185791015625e-07
238,4.76837158203125e-07
239,5.4836273193359375e-06
240,2.384185791015625e-07
241,4.76837158203125e-07
242,6.67572021484375e-06
243,2.384185791015625e-07
244,4.76837158203125e-07
245,5.7220458984375e-06
246,2.384185791015625e-07
247,2.384185791015625e-07
248,8.821487426757812e-06
249,2.384185791015625e-07
250,2.384185791015625e-07
251,5.9604644775390625e-06
252,2.384185791015625e-07
253,2.384185791015625e-07
254,5.9604644775390625e-06
255,2.384185791015625e-07
256,2.384185791015625e-07
257,6.4373016357421875e-06
258,2.384185791015625e-07
259,4.76837158203125e-07
260,5.9604644775390625e-06
261,2.384185791015625e-07
262,2.384185791015625e-07
263,6.67572021484375e-06
264,4.76837158203125e-07
265,2.384185791015625e-07
266,5.245208740234375e-06
267,4.76837158203125e-07
268,2.384185791015625e-07
269,5.4836273193359375e-06
270,7.152557373046875e-07
271,2.384185791015625e-07
272,5.7220458984375e-06
273,7.152557373046875e-07
274,2.384185791015625e-07
275,5.9604644775390625e-06
276,2.384185791015625e-07
277,2.384185791015625e-07
278,8.821487426757812e-06
279,4.76837158203125e-07
280,4.76837158203125e-07
281,5.4836273193359375e-06
282,2.384185791015625e-07
283,4.76837158203125e-07
284,6.4373016357421875e-06
285,7.152557373046875e-07
286,2.384185791015625e-07
287,5.4836273193359375e-06
288,2.384185791015625e-07
289,2.384185791015625e-07
290,6.67572021484375e-06
291,4.76837158203125e-07
292,2.384185791015625e-07
293,6.67572021484375e-06
294,4.76837158203125e-07
295,2.384185791015625e-07
296,5.7220458984375e-06
297,4.76837158203125e-07
298,2.384185791015625e-07
299,5.9604644775390625e-06
300,4.76837158203125e-07
301,2.384185791015625e-07
302,5.7220458984375e-06
303,4.76837158203125e-07
304,2.384185791015625e-07
305,6.198883056640625e-06
306,2.384185791015625e-07
307,2.384185791015625e-07
308,6.198883056640625e-06
309,2.384185791015625e-07
310,2.384185791015625e-07
311,8.106231689453125e-06
312,2.384185791015625e-07
313,2.384185791015625e-07
314,5.4836273193359375e-06
315,2.384185791015625e-07
316,2.384185791015625e-07
317,6.198883056640625e-06
318,7.152557373046875e-07
319,2.384185791015625e-07
320,6.4373016357421875e-06
321,2.384185791015625e-07
322,2.384185791015625e-07
323,6.198883056640625e-06
324,2.384185791015625e-07
325,2.384185791015625e-07
326,5.9604644775390625e-06
327,2.384185791015625e-07
328,4.76837158203125e-07
329,6.198883056640625e-06
330,2.384185791015625e-07
331,2.384185791015625e-07
332,6.4373016357421875e-06
333,2.384185791015625e-07
334,2.384185791015625e-07
335,5.7220458984375e-06
336,4.76837158203125e-07
337,2.384185791015625e-07
338,5.9604644775390625e-06
339,4.76837158203125e-07
340,2.384185791015625e-07
341,8.106231689453125e-06
342,2.384185791015625e-07
343,2.384185791015625e-07
344,5.7220458984375e-06
